post_id,scheme,category,title,answer
12,Stand Up India buissness,business loan for backward,other benefits,"Apart from linking prospective borrowers to banks for loans , the web portal designed by SIDBI for Stand-Up India Scheme also provides handholding support through a network of agencies engaged in training, skill development, mentoring, project report preparation, application filling, work shed/utility support services, subsidy schemes etc."
13,Scheme For Liberation and Rehabilitation of Scavenger,house loan,Objective,The objective of the scheme is to liberate the scavengers and their dependents from their existing hereditary and obnoxious occupation.
14,Scheme For Liberation and Rehabilitation of Scavenger,house loan,Purpose,The objective of the scheme is to liberate the scavengers and their dependents from their existing hereditary and obnoxious occupation.
15,Scheme For Liberation and Rehabilitation of Scavenger,house loan,Nature,The objective of the scheme is to liberate the scavengers and their dependents from their existing hereditary and obnoxious occupation.
16,Scheme For Liberation and Rehabilitation of Scavenger,house loan,Introduction of the scheme,The objective of the scheme is to liberate the scavengers and their dependents from their existing hereditary and obnoxious occupation.
17,Scheme For Liberation and Rehabilitation of Scavenger,house loan,Eligibility Criteria,"Scavengers in Urban, Semi-urban and Rural areas and any other town or area including Cantonment Boards, Colonies set up by Public Sector Undertakings etc. are covered under this scheme. There is no age limit for the purpose of rehabilitation of the scavengers."
18,Scheme For Liberation and Rehabilitation of Scavenger,house loan,Training,Scavengers will be trained by the Training Institutions set up by the Government of India / State Government / Union Territory Administrations. The entire cost of the training will be borne by the Central Government. The focus of the training will be on creating / upgrading the skill for self-employment. Training will be limited only to those scavengers and their dependents who are in the age group of 15-50 years.
19,Scheme For Liberation and Rehabilitation of Scavenger,house loan,Project funding,"Maximum project cost is Rs.50,000/- per beneficiary."
20,Scheme For Liberation and Rehabilitation of Scavenger,house loan,Subsidy,"Subsdy is available at the rate of 50% of the project cost with a maximum of Rs.10,000/- per borrower."
21,Scheme For Liberation and Rehabilitation of Scavenger,house loan,Bank Loan,Project cost ? (Subsidy+ Margin money wherever applicable).
22,Scheme For Liberation and Rehabilitation of Scavenger,house loan,Rate of Interest,"All loans up to Rs.6,500/- under the scheme irrespective of the income of the beneficiary is treated under DRI scheme and concessional interest rate of 4% is extended. Interest rates for loans in excess of Rs. 6500/- would be as per Bank?s / Reserve Bank of India?s directives issued from time to time."
23,Scheme For Liberation and Rehabilitation of Scavenger,house loan,Security,Hypothecation of the assets created out of the loan in favour of the banks. The State Scheduled Caste Development Corporations may be allowed to have second charge / pari-passu charge over the assets to cover their margin money loan assistance.
24,Scheme For Liberation and Rehabilitation of Scavenger,house loan,Repayment,The repayment of the loan should be made within 3-7 years (inclusive of grace period) depending on the life of assets created and the repaying capacity of the beneficiary. Suitable grace period not exceeding six months may be given for each activity.
25,Scheme For Liberation and Rehabilitation of Scavenger,house loan,Jurisdiction,State
26,Scheme For Liberation and Rehabilitation of Scavenger,house loan,Benefits,Scavengers will be trained by the Training Institutions set up by the Government of India / State Government / Union Territory Administrations. The entire cost of the training will be borne by the Central Government. The focus of the training will be on creating / upgrading the skill for self-employment.
27,Scheme For Liberation and Rehabilitation of Scavenger,house loan,Whom does it benefit,"Scavengers in Urban, Semi-urban and Rural areas and any other town or area including Cantonment Boards, Colonies set up by Public Sector Undertakings etc. are covered under this scheme."
28,Scheme For Liberation and Rehabilitation of Scavenger,house loan,Launching,The National Scheme for Liberation and Rehabilitation of Scavengers was launched by the Government of India on 22.03.1992.
29,Rashtriya Swasthya Bima Yojana,health insurance,Objective,Its main motto is to provide health insurance coverage to people belonging to the BPL (Below Poverty Line) category.
30,Rashtriya Swasthya Bima Yojana,health insurance,Purpose,Its main motto is to provide health insurance coverage to people belonging to the BPL (Below Poverty Line) category.
31,Rashtriya Swasthya Bima Yojana,health insurance,Nature,Its main motto is to provide health insurance coverage to people belonging to the BPL (Below Poverty Line) category.
32,Rashtriya Swasthya Bima Yojana,health insurance,Introduction of the scheme,Its main motto is to provide health insurance coverage to people belonging to the BPL (Below Poverty Line) category.
33,Rashtriya Swasthya Bima Yojana,health insurance,What are the benefits,"It provides health insurance coverage to unorganised sectors, such as construction, that are registered under Welfare Boards, Street Vendors, Licensed Porters (railway, MNREGA workers, mine workers, auto or taxi drivers etc.Covers up to Rs. 30,000 on a floater basis for family consisting of 5 members.Provides cover for transportation charges of Rs. 100 per visit to the hospital with the maximum limit of Rs. 1,000. The premium is just Rs. 30 per annum, and BPL families can get an RSBY smart card, which allows holders to claim medical care expenses of up to Rs. 30,000 per annum. "
34,Rashtriya Swasthya Bima Yojana,health insurance,Eligibility Criteria,Unorganized sector workers belonging to BPL category and their family members (a family unit of five) shall be the beneficiaries under the scheme.
35,Rashtriya Swasthya Bima Yojana,health insurance,Whom does it benefit,Unorganized sector workers belonging to BPL category and their family members (a family unit of five) shall be the beneficiaries under the scheme.
36,Rashtriya Swasthya Bima Yojana,health insurance,Enrollment Process,"An electronic list of eligible BPL households is provided to the insurer, using a pre-specified data format. An enrollment schedule for each village along with dates is prepared by the insurance company with the help of the district level officials. As per the schedule, the BPL list is posted in each village at enrollment station and prominent places prior to the enrollment and the date and location of the enrolment in the village is publicized in advance. Mobile enrollment stations are set up at local centres (e.g., public schools) in each village. These stations are equipped by the insurer with the hardware required to collect biometric information (fingerprints) and photographs of the members of the household covered and a printer to print smart cards with a photo. The smart card, along with an information pamphlet, describing the scheme and the list of hospitals, is provided on the spot once the beneficiary has paid the 30 rupee fee and the concerned Government Officer has authenticated the smart card. The process normally takes less than ten minutes. The cards shall be handed over in a plastic cover."
37,Rashtriya Swasthya Bima Yojana,health insurance,Jurisdiction,Both Central and State
38,Rashtriya Swasthya Bima Yojana,health insurance,Central Government Contribution,"75% of the estimated annual premium ofRs.750, subject to a maximum ofRs.565 per family per annum. The cost of smart card will be borne by the Central Government"
39,Rashtriya Swasthya Bima Yojana,health insurance,State Governmaent Contribution,"25% of the annual premium, as well as any additional premium."
40,Rashtriya Swasthya Bima Yojana,health insurance,Funding Pattern,"Contribution by Government of India: 75% of the estimated annual premium ofRs.750, subject to a maximum ofRs.565 per family per annum. The cost of smart card will be borne by the Central Government. Contribution by respective State Governments: 25% of the annual premium, as well as any additional premium. The beneficiary would payRs.30 per annum as registration/renewal fee. The administrative and other related cost of administering the scheme would be borne by the respective State Governments"
41,Rashtriya Swasthya Bima Yojana,health insurance,LaunchingYear,2008
42,Rashtriya Swasthya Bima Yojana,health insurance,Registration fee,Registration Fee:The registration fee to be paid is only Rs.30 year while Central and State Government pays the premium as per their sharing ratio to the insurer. The insurer is selected by the State Government on the basis of a competitive bidding.
43,Rashtriya Swasthya Bima Yojana,health insurance,Registration process," The State Government sets up a State Nodal Agency (SNA). The SNA is responsible for implementing, monitoring supervision and part-financing of the RSBY scheme. The SNA is also responsible for coordinating with insurance company, hospitals, district authorities, and other local stake holders."
44,Rashtriya Swasthya Bima Yojana,health insurance,Security,t is for the first time that IT applications are being used for social sector scheme on such a large scale. RSBY scheme issues with biometric enabled smart card with insured?s fingerprints and photographs. All the registered hospitals under RSBY are IT enabled with the facility to use biometric enabled smart card and connected to the server at the district level. This makes this scheme safe and secure from fraud claims.
45,Rashtriya Swasthya Bima Yojana,health insurance,Hospital,RSBY offers freedom of choice between public and private hospitals to the below poverty line family participating in RSBY.
46,Prime Ministers Rozgar Yojana,buissness loan,Objective,This scheme was launched by Central Government in 1993 to help those who were unemployed to find opportunities of self-employment. The scheme targets the youth and women by giving them a financial boost to help get them into the employment sector. The implementation of this scheme is carried out by the District Industries Centres (DIC) and the Directorates of Industries as well as the banks.
47,Prime Ministers Rozgar Yojana,buissness loan,Introduction of the scheme,This scheme was launched by Central Government in 1993 to help those who were unemployed to find opportunities of self-employment. The scheme targets the youth and women by giving them a financial boost to help get them into the employment sector. The implementation of this scheme is carried out by the District Industries Centres (DIC) and the Directorates of Industries as well as the banks.
48,Prime Ministers Rozgar Yojana,buissness loan,Nature,This scheme was launched by Central Government in 1993 to help those who were unemployed to find opportunities of self-employment. The scheme targets the youth and women by giving them a financial boost to help get them into the employment sector. The implementation of this scheme is carried out by the District Industries Centres (DIC) and the Directorates of Industries as well as the banks.
49,Prime Ministers Rozgar Yojana,buissness loan,Purpose,This scheme was launched by Central Government in 1993 to help those who were unemployed to find opportunities of self-employment. The scheme targets the youth and women by giving them a financial boost to help get them into the employment sector. The implementation of this scheme is carried out by the District Industries Centres (DIC) and the Directorates of Industries as well as the banks.
50,Prime Ministers Rozgar Yojana,buissness loan,Eligibility Criteria,"All educated youth who are unemployed can apply. Must be a permanent resident of the area for at least 3 years. The minimum age requirement is 18 years. The maximum age limit is 35 years. For north-east region, the age limit is stretched up to 40 years. For SC/ST, ex-servicemen, women and physically handicapped, the age limit is extended to 40 years. Applicants must have passed 8th standard. For those who have been trained for any government recognised trade or studied in an approved institution for at least 6 months, they will receive preference. The income of the applicant along with the spouse and parents must not exceed Rs.1 lakh p.a."
51,Prime Ministers Rozgar Yojana,buissness loan,Exclusions,"If you have defaulted in payments to any Nationalised bank or financial institution, your chances of getting this loan will be reduced.  If you are already being assisted with another subsidy-linked Government scheme, you will not be eligible."
52,Prime Ministers Rozgar Yojana,buissness loan,Rate of Interest,"Based on the quantum of the loan, the rate of interest will be applicable as per the guidelines stipulated by the government. The rates of interest offered are subject to change from time to time."
53,Prime Ministers Rozgar Yojana,buissness loan,Subsidy,"Subsidies offered under this scheme are limited to 15% of the project cost. This is further limited to Rs.12,500 per entrepreneur. For the North-Eastern Regions, Himachal Pradesh, Uttaranchal and Jammu & Kashmir regions, the limit is extended to Rs.15,000. Self-help Groups can also avail subsidies of up to Rs.15,000 per beneficiary. This is limited to Rs.1.25 lakhs per SHG."
54,Prime Ministers Rozgar Yojana,buissness loan,Margin,The Margin Money ranges between5% to 16.25%of the cost of the project. The total of subsidy plus margin money should be equal to 20% of the project cost.
55,Prime Ministers Rozgar Yojana,buissness loan,Repayment,The tenures on these loans range between 3 years to 7 years.
56,Prime Ministers Rozgar Yojana,buissness loan,Moratorium Period,There is a moratorium period granted under these loans as prescribed by the scheme that allows the borrower to set up his business and start earning money before the repayment schedule begins.
57,Prime Ministers Rozgar Yojana,buissness loan,Training,"As part of the scheme, training is offered to borrowers to ensure that they are able to set up their business or carry out their employment strategy. Expenses are borne by the DIC. For the service and business sector, training lasts between 7 to 10 days. For the industry sector, training is provided for 15 to 20 days."
58,Prime Ministers Rozgar Yojana,buissness loan,How to Apply?,"Toapply for a loanunder the PMRY, interested applicants can approach the General Manager of the District Industries Center of the respective district in which they reside."
59,Prime Ministers Rozgar Yojana,buissness loan,Project Cost,"Business sector - Rs.2 lakhs maximum. Service sector - Rs.5 lakhs maximum. Industry sector - Rs.5 lakhs maximum. In case of partnerships, if two or more people are eligible under this scheme, then the maximum limit covered is Rs.10 lakhs."
60,Pradhan Mantri Mudra Yojana,small business loan,What is MUDRA?,"MUDRA, which stands for Micro Units Development & Refinance Agency Ltd, is a financial institution
being set up by Government of India for development and refinancing micro units enterprises"
61,Pradhan Mantri Mudra Yojana,small business loan,What is the purpose of MUDRA?,"The purpose of MUDRA is to provide funding to the non-corporate small business sector through various
Last Mile Financial Institutions like Banks, NBFCs and MFIs."
62,Pradhan Mantri Mudra Yojana,small business loan,Whom does it benefit?,"Non??Corporate Small Business Segment (NCSB) comprising of millions of proprietorship / partnership
firms running as small manufacturing units, service sector units, shopkeepers, fruits / vegetable
vendors, truck operators, food-service units, repair shops, machine operators, small industries,
artisans, food processors and others, in rural and urban areas."
63,Pradhan Mantri Mudra Yojana,small business loan,What is the eligibility of person to avail MUDRA loans?,"Any Indian Citizen who has a business plan for a non farm income generating activity such as
manufacturing, processing, trading or service sector whose credit need is less than $ 15340 can
approach either a Bank, MFI or NBFC for availing of MUDRA loans under PMMY. The usual terms
and conditions of the lending agency may have to be followed for availing of loans under PMMY. The
lending rates are as per the RBI guidelines issued in this regard from time to time."
64,Pradhan Mantri Mudra Yojana,small business loan,What are the benefits?,"Pradhan Mantri Mudra Yojana (PMMY) loans will be extended by all Public Sector Banks such as PSU
banks, Regional Rural Banks (RRBs), Cooperative Banks, Private Sector Banks, Foreign Banks,
Micro Finance Institutions and Non Banking Finance Companies. All loans sanctioned on or after April
08, 2015 up to a loan size of $ 15,340 for non farm income generating activities will be branded as
PMMY loans"
65,Pradhan Mantri Mudra Yojana,small business loan,Jurisdiction of scheme?,Central
66,Pradhan Mantri Mudra Yojana,small business loan,"What are the documents that are required to be submitted for availing loans under
MUDRA?","The terms and conditions of the loan will be governed by the rules of the lending institution and the
broad guidelines of RBI. The guidance regarding the documents needed may be obtained from any of
the lending institutions in your locality"
67,Pradhan Mantri Mudra Yojana,small business loan,What is the rate of interest on MUDRA loans? ,"The interest rates are deregulated and the banks have been advised to charge reasonable interest
rates within the overall RBI guidelines"
68,Pradhan Mantri Mudra Yojana,small business loan, Is there any standard format of application to avail MUDRA loans?,"Yes. In respect of Shishu category, an one page application format has been designed which has
been posted in MUDRA website. In respect of Kishor and Tarun category, a 3 page indicative
application format has been designed and the same is also posted in MUDRA website."
69,Pradhan Mantri Mudra Yojana,small business loan, Is there any requirement for a life insurance for MUDRA scheme?,Life insurance is not required for loans under PMMY.
70,Pradhan Mantri Mudra Yojana,small business loan,How much interest savings would earn in PMJDY Account?,Interest rate applicable for Saving Bank Accounts (presently @ 4 % in most of the banks) shall be admissible to accounts opened under PMJDY Scheme
71,Pradhan Mantri Mudra Yojana,small business loan,"Under PMMY-Shishu loans, what is the turn around time for processing the loan
proposal?","For Shishu loans, normally 7 to 10 days is the turn around time for processing the loan proposals on
receipt of complete information."
72,Pradhan Mantri Mudra Yojana,small business loan,Enrolment period,infinte
73,Pradhan Mantri Jan-Dhan Yojana,accidental and death insurance,What is the purpose of scheme ?,"Pradhan Mantri Jan-Dhan Yojana (PMJDY) is National Mission for Financial Inclusion to ensure access to financial services, namely, Banking/ Savings & Deposit Accounts, Remittance, Credit, Insurance and Pension in an affordable manner"
74,Pradhan Mantri Jan-Dhan Yojana,accidental and death insurance,Whom does it benefit ?,Common man
75,Pradhan Mantri Jan-Dhan Yojana,accidental and death insurance,What is BSBDA Account ?,Dont Know
76,Pradhan Mantri Jan-Dhan Yojana,accidental and death insurance,What are the benefits ?,"Special benefits attached to the scheme are  Interest on deposit,  Accidental insurance cover of Rs.1.00lac , No minimum balance required. However, for withdrawal of money from any ATM with Rupay Card, some balance is advised to be keptin account. Life insurance cover of Rs. 30,000 and Easy Transfer of money across India. Beneficiaries of Government Schemes will get Direct Benefit Transferring these accounts and After satisfactory operation of the account for 6 months, an overdraft facility will be permitted and the last one is Access to Pension, insurance products."
77,Pradhan Mantri Jan-Dhan Yojana,accidental and death insurance,Jurisdiction of scheme ?,Central
78,Pradhan Mantri Jan-Dhan Yojana,accidental and death insurance,What are the documents required to open an account ?,"Documents required are  passport,  driving license,  Permanent Account Number (PAN) Card, Voter Identity Card issued by Election Commission of India,  job card issued by NREGA duly signed by an officer of the State Government,  the letter issued by the Unique Identification Authority of India containing details of name, address and Aadhaar number"
79,Pradhan Mantri Jan-Dhan Yojana,accidental and death insurance,Do you have to pay some fee to open a Bank account under PMJDY ?,"No, there is absolutely no charge or fee for opening an account under PMJDY"
80,Pradhan Mantri Jan-Dhan Yojana,accidental and death insurance,"If the present address is different than that of printed on Aadhaar Card, can the account still be opened under Pradhan Mantri Jan-Dhan Yojana on the basis of Aadhaar Card ?","If address has changed, then a self-certification of current address is sufficient."
81,Pradhan Mantri Jan-Dhan Yojana,accidental and death insurance,What is Accidental Insurance Cover? Who will pay the premium ?,Accidental Insurance Cover is Rs.1.00 lac and no premium is charged to the beneficiary  NPCI will pay the premium. At present the premium is Rs.0.47 per Card
82,Pradhan Mantri Jan-Dhan Yojana,accidental and death insurance,How much interest savings would earn in PMJDY Account ?,Interest rate applicable for Saving Bank Accounts (presently at the rate of 4 % in most of the banks) shall be admissible to accounts opened under PMJDY Scheme
83,Pradhan Mantri Jan-Dhan Yojana,accidental and death insurance,How much interest will be charged by bank on overdraft facility in PMJDY ?,"Base Rate + 2 % or 12 %, whichever is lower. At present, it will be 12 %."
84,Pradhan Mantri Jan-Dhan Yojana,accidental and death insurance,Enrolment period,infinte
85,pradhan mantri jan arogya,health insurance,What is Pradhan Mantri Jan Arogya Yojana(PM-JAY)?,Pradhan Mantri Jan Arogya Yojana(PM-JAY) is a pioneering initiative of Prime Minister Modi to ensure that poor and vulnerable population is provided health cover. This initiative is part of the Government??s vision to ensure that its citizens ?? especially the poor and vulnerable groups have universal access to good quality hospital services without anyone having to face financial hardship as a consequence of using health services.
86,pradhan mantri jan arogya,health insurance,What benefits are available under PM-JAY?,"PM-JAY provides an insurance cover upto Rs 5 lakh per family, per year for secondary and tertiary hospitalization. All pre-existing conditions are covered from day 1 of implementation of PM-JAY in respective States/UTs."
87,pradhan mantri jan arogya,health insurance,What health services are available under PM-JAY?,"The health services covered under the programme include hospitalization expenses, day care surgeries, follow-up care, pre and post hospitalization expense benefits and new born child/children services. The comprehensive list of services is available on the website."
88,pradhan mantri jan arogya,health insurance,Who is eligible to avail benefits under PM-JAY?,"PM-JAY covers more than 10 crore poor and vulnerable families across the country, identified as deprived rural families and occupational categories of urban workers?? families as per the latest Socio-Economic Caste Census (SECC) data. A list of eligible families has been shared with the respective state government as well as ANMs/BMO/BDOs of relevant area. Only families whose name is on the list are entitled for the benefits of PM-JAY. Additionally, any family that has an active RSBY card as of 28 February 2018 is covered. There is no capping on family size and age of members, which will ensure that all family members specifically girl child and senior citizens will get coverage."
89,pradhan mantri jan arogya,health insurance,Where can beneficiaries avail of services under PM-JAY?,Can the Micro and Small Entrepreneurs / borrowers approach the Trust directly to seek guarantee for the credits sanctioned by the Banks?
90,pradhan mantri jan arogya,health insurance,What to we have to pay for this scheme?,No. All eligible beneficiaries can avail free services for secondary and tertiary hospital care for identified packages under PM-JAY at public hospitals and empaneled private hospitals. Beneficiaries will have cashless and paperless access to health services under PM-JAY.
91,pradhan mantri jan arogya,health insurance,What is the enrolment process? Is there any time period for enrolment?,PM-JAY is an entitlement based mission. There is no enrolment process. Families who are identified by the government on the basis of deprivation and occupational criteria using the SECC database both in rural and urban areas are entitled for PM-JAY.
92,pradhan mantri jan arogya,health insurance,Enrollment Period,Till Scheme is on.
93,pradhan mantri jan arogya,health insurance,Jurisdiction,Central
94,pradhan mantri jan arogya,health insurance,Will a card be given to the beneficiary?,"A dedicated PM-JAY family identification number will be allotted to eligible families. Additionally, an e-card will also be given to beneficiary at the time of hospitalization."
95,pradhan mantri jan arogya,health insurance,Can those families whose names are not on the list avail the benefits under PM-JAY?,"In this phase, no additional new families can be added under PM-JAY. However, names of additional family members can be added for those families whose names are already on the SECC list."
96,Pradhan Mantri Suraksh Bima Yojna,Health insurance,What would be the benefits under the scheme ?,For death and irrecoverable loss of both eyes or loss of use of both hands or feet or loss of sight of one eye and loss of use of hand or foot sum insured is Rs. 2 Lakh. For total and irrecoverable loss of sight of one eye or loss of use of one hand or foot sum insured is Rs. 1 Lakh
97,Pradhan Mantri Suraksh Bima Yojna,Health insurance,What would be the premium payable ?,Premium payable is Rs.12/- per annum per member.
98,Pradhan Mantri Suraksh Bima Yojna,Health insurance,How will the premium be paid ?,"The premium will be deducted from the account holder?s bank account through ?auto debit? facility in one instalment, as per the consent to be given on enrolment. Members may also give one-time mandate for auto-debit every year till the scheme is in force, subject to re-calibration that may be deemed necessary on review of experience of the scheme."
99,Pradhan Mantri Suraksh Bima Yojna,Health insurance,Who will offer or administer the scheme ?,"The scheme is offered / administered through the Public Sector General Insurance Companies (PSGICs) and other General Insurance companies willing to offer the product with necessary approvals on similar terms, in collaboration with participating Banks. Participating banks are free to engage any such general insurance company for implementing the scheme for their subscribers."
100,Pradhan Mantri Suraksh Bima Yojna,Health insurance,Who will be eligible to subscribe ?,"All individual (single or joint) bank account holders in the age 18 to 70 years in participating banks will be entitled to join. In case of multiple bank accounts held by an individual in one or different banks, the person would be eligible to join the scheme through one bank account only."
101,Pradhan Mantri Suraksh Bima Yojna,Health insurance,What is the enrolment period and modality ?,"Initially on launch for the cover period from 1st June 2015 to 31st May 2016 subscribers were expected to enrol and give their auto-debit option by 31st May 2015, which was extended up to 31st May 2016. Subscribers who wish to continue beyond the first year will be expected to give their consent for auto-debit before each successive May 31st for successive years. Delayed renewal subsequent to this date may be possible on payment of full annual premium, subject to conditions that may be laid down."
102,Pradhan Mantri Suraksh Bima Yojna,Health insurance,Can eligible individuals who fail to join the scheme in the initial year join in subsequent years ?,"Yes, on payment of premium through auto-debit. New eligible entrants in future years can also join accordingly."
103,Pradhan Mantri Suraksh Bima Yojna,Health insurance,Can individuals who leave the scheme rejoin ?,"Individuals who exit the scheme at any point may re-join the scheme in future years by paying the annual premium, subject to conditions that may be laid down."
104,Pradhan Mantri Suraksh Bima Yojna,Health insurance,Who would be the Master policy holder for the scheme ?,Participating Banks will be the Master policy holders. A simple and subscriber friendly administration & claim settlement process has been finalized by PSGICs / chosen insurance company in consultation with the participating bank.
105,Pradhan Mantri Suraksh Bima Yojna,Health insurance,When can the accident cover assurance terminate ?,"The accident cover of the member shall terminate / be restricted accordingly on any of the following events: On attaining age 70 years or closure of account with the Bank or insufficiency of balance to keep the insurance in force or in case a member is covered through more than one account and premium is received by the insurance company inadvertently, insurance cover will be restricted to one account and the premium shall be liable to be forfeited."
106,Pradhan Mantri Suraksh Bima Yojna,Health insurance,Will this cover be in addition to cover under any other insurance scheme the subscriber may be covered under ?,Yes.
107,Pradhan Mantri Suraksh Bima Yojna,Health insurance,"Does the PMSBY cover death or disability resulting from natural calamities such as earthquake, flood and other convulsions of nature? What about coverage of suicide or murder ?","Natural calamities being in the nature of accidents, any death / disability (as defined under PMSBY) resulting from such natural calamities is also covered under PMSBY. While death due to suicide is not covered, that from murder is covered."
108,Pradhan Mantri Suraksh Bima Yojna,Health insurance,Can all holders of a joint bank account join the scheme through the said account?,"In case of a joint account, all holders of the said account can join the scheme provided they satisfy its eligibility criteria and pay the premium at the rate of Rs.12 per person per annum through auto-debit."
109,Pradhan Mantri Suraksh Bima Yojna,Health insurance,Which Bank Accounts are eligible for subscribing to PMSBY ?,All bank account holders other than institutional account holders are eligible for subscribing to PMSBY scheme.
110,Pradhan Mantri Suraksh Bima Yojna,Health insurance,Are NRIs eligible for coverage under PMSBY ?,"Any NRI having an eligible bank account with a bank branch located in India is eligible for purchase of PMSBY cover through this account subject to fulfilment of the terms and conditions relating to the scheme. However, in case a claim arises, the claim benefit will be paid to the beneficiary/ nominee only in Indian currency."
111,Pradhan Mantri Suraksh Bima Yojna,Health insurance,Is there any provision for reimbursement of hospitalisation expenses following accident resulting in death or disablement ?,No.
112,Pradhan Mantri Suraksh Bima Yojna,Health insurance,Who can claim insurance benefit in case of death of the bank account holder who gave the enrolment form ?,"In case of death of the Account holder who enrolled in the scheme, claim can be filed by the nominee/appointee as per the enrolment form or by the legal heir/s in case there is no nomination made by the subscriber bank account holder."
113,Pradhan Mantri Suraksh Bima Yojna,Health insurance,What is the mode of payment of the claim amount ?,Disability Claim will be credited in the bank account of the insured bank account holder. Death claims will be remitted to the bank account of the nominee / legal heir(s).
114,Pradhan Mantri Suraksh Bima Yojna,Health insurance,Will the family get insurance benefit if the account holder commits suicide ?,No.
115,Pradhan Mantri Suraksh Bima Yojna,Health insurance,Is it necessary to report accidents to Police and obtain FIR for claiming benefits under the policy ?,"In case of incidents like Road, Rail and similar vehicular accidents, drowning, death involving any crime etc, the accident should be reported to police. In case of incidents like snake bite, fall from tree etc, the cause should be supported by immediate hospital record."
116,Pradhan Mantri Suraksh Bima Yojna,Health insurance,"If the insured is missing and death is not confirmed, will the legal heirs get benefit of insurance ?","PMSBY covers deaths confirmed by documentary evidence, to have been caused by accident."
117,Pradhan Mantri Suraksh Bima Yojna,Health insurance,"Rates of premium may be increased, or the Companies may discontinue the schemes in future ?","Insurance is like any other product. While rates can go up in future, with 21 general insurance Companies operating in India, due to competition among them, prices are likely to remain stable. It is expected that with the design of the PMSBY cover and it?s pricing, the scheme will be viable, and there is little chance of discontinuing. In any event, even if a particular company discontinues, banks have several other options to tie up with."
118,Pradhan Mantri Suraksh Bima Yojna,Health insurance,What is the nature or purpose of the scheme ?,"The scheme is a one year cover Personal Accident Insurance Scheme, renewable from year to year, offering protection against death or disability due to accident."
